pair,exposure_category,transport_km_valid,transport_km_strong_subsidence,transport_km_hidden_strong_subsidence,hidden_strong_subsidence_transport_fraction
20160120_20160320,major_road,9020.261318275034,8923.891208355115,17.401726529178738,0.0019500155395088337
20160120_20160320,railway,793.4206444620273,783.2059385359177,0.0,0.0
20160120_20160320,transport_total,9813.681962737217,9707.097146891148,17.401726529178738,0.0017926807845692486
20160507_20160519,major_road,9020.261318275034,8923.891208355115,3.4917098714837973,0.00039127660680294223
20160507_20160519,railway,793.4206444620273,783.2059385359177,0.0,0.0
20160507_20160519,transport_total,9813.681962737217,9707.097146891148,3.4917098714837973,0.00035970690502485313
20160823_20160928,major_road,9020.261318275034,8923.891208355115,20.26750879344034,0.0022711514876452782
20160823_20160928,railway,793.4206444620273,783.2059385359177,0.0,0.0
20160823_20160928,transport_total,9813.681962737217,9707.097146891148,20.26750879344034,0.0020879062490820263
20161127_20161221,major_road,9020.261318275034,8923.891208355115,5.012011808479308,0.0005616397254806001
20161127_20161221,railway,793.4206444620273,783.2059385359177,0.0,0.0
20161127_20161221,transport_total,9813.681962737217,9707.097146891148,5.012011808479308,0.0005163244719441675
20170126_20170327,major_road,9020.261318275034,8923.891208355115,6.338754025962705,0.0007103127859770365
20170126_20170327,railway,793.4206444620273,783.2059385359177,0.0,0.0
20170126_20170327,transport_total,9813.681962737217,9707.097146891148,6.338754025962705,0.0006530020180124385
20170514_20170830,major_road,9020.261318275034,8923.891208355115,13.81733990239668,0.0015483536923287463
20170514_20170830,railway,793.4206444620273,783.2059385359177,0.2527229117921646,0.0003226774713488396
20170514_20170830,transport_total,9813.681962737217,9707.097146891148,14.070062814188844,0.001449461419956532
20170911_20171017,major_road,9020.261318275034,8923.891208355115,22.44189336148377,0.0025148102814691693
20170911_20171017,railway,793.4206444620273,783.2059385359177,0.7748925987795856,0.000989385499589198
20170911_20171017,transport_total,9813.681962737217,9707.097146891148,23.216785960263355,0.002391733142147331
20171204_20171216,major_road,9020.261318275034,8923.891208355115,3.50752666384073,0.0003930490166169619
20171204_20171216,railway,793.4206444620273,783.2059385359177,0.0,0.0
20171204_20171216,transport_total,9813.681962737217,9707.097146891148,3.50752666384073,0.0003613363099970696
20180202_20180214,major_road,9020.261318275034,8923.891208355115,0.0,0.0
20180202_20180214,railway,793.4206444620273,783.2059385359177,0.0,0.0
20180202_20180214,transport_total,9813.681962737217,9707.097146891148,0.0,0.0
20180608_20190311,major_road,9020.261318275034,8923.891208355115,18.666522847370164,0.0020917470206151074
20180608_20190311,railway,793.4206444620273,783.2059385359177,1.144234478999672,0.001460962465553621
