exposure_layer,budget_cells,overlap_cells,overlap_fraction,aware_top_total_exposure,visible_top_total_exposure,aware_top_hidden_exposure,visible_top_hidden_exposure,aware_only_hidden_exposure,visible_only_hidden_exposure,hidden_exposure_gain_aware_minus_visible,aware_only_cells,visible_only_cells
population,100,100,1.0,1947886.257567804,1947886.257567804,0.0,0.0,0.0,0.0,0.0,0,0
population,250,250,1.0,3981229.9565955047,3981229.9565955047,0.0,0.0,0.0,0.0,0.0,0,0
population,500,496,0.992,6559321.585498762,6554411.147098233,41009.80685388828,0.0,41009.80685388828,0.0,41009.80685388828,4,4
population,1000,975,0.975,10281565.021873647,10236142.301632194,194602.55783402984,0.0,194602.55783402984,0.0,194602.55783402984,25,25
population,2000,1873,0.9365,14350706.821415592,14103388.278598689,572296.5218642066,0.0,572296.5218642069,0.0,572296.5218642066,127,127
builtup,100,99,0.99,35.27453660501943,35.250301700635475,0.3576078216397557,0.0,0.3576078216397557,0.0,0.3576078216397557,1,1
builtup,250,249,0.996,83.3108471220406,83.2625561981887,0.3576078216397557,0.0,0.3576078216397557,0.0,0.3576078216397557,1,1
builtup,500,498,0.996,156.9551811508564,156.87713299533254,0.6396649522869962,0.0,0.6396649522869962,0.0,0.6396649522869962,2,2
builtup,1000,997,0.997,286.46263864019625,286.2695727535758,0.9101696584862315,0.0,0.9101696584862315,0.0,0.9101696584862315,3,3
builtup,2000,1948,0.974,495.3823225309888,493.82921871980335,10.82885826933808,0.0,10.82885826933808,0.0,10.82885826933808,52,52
