panel,box,item,value,unit,threshold_mm_per_year,site,service_key,dwr_median_mm_per_year,ngl_up_median_mm_per_year,same_sign_negative_fraction
A_summary,tulare_corcoran_agriculture,total_valid_median_mm_per_year,-95.107096,mm_per_year,,,,,,
A_summary,tulare_corcoran_agriculture,annual_valid_median_mm_per_year,-65.157837,mm_per_year,,,,,,
A_summary,tulare_corcoran_agriculture,total_valid_population_fraction,0.97915,fraction,,,,,,
A_summary,fresno_urban_infrastructure,total_valid_median_mm_per_year,-3.767104,mm_per_year,,,,,,
A_summary,fresno_urban_infrastructure,annual_valid_median_mm_per_year,-9.212333,mm_per_year,,,,,,
A_summary,fresno_urban_infrastructure,total_valid_population_fraction,0.995949,fraction,,,,,,
B_threshold,tulare_corcoran_agriculture,strong_population,102163.557379,people,5.0,,,,,
B_threshold,tulare_corcoran_agriculture,strong_builtup_km2,18.808611,km2,5.0,,,,,
B_threshold,tulare_corcoran_agriculture,strong_population_fraction_of_total_valid,0.999978,fraction,5.0,,,,,
B_threshold,tulare_corcoran_agriculture,strong_population,102163.557379,people,10.0,,,,,
B_threshold,tulare_corcoran_agriculture,strong_builtup_km2,18.804677,km2,10.0,,,,,
B_threshold,tulare_corcoran_agriculture,strong_population_fraction_of_total_valid,0.999978,fraction,10.0,,,,,
B_threshold,tulare_corcoran_agriculture,strong_population,85031.958087,people,50.0,,,,,
B_threshold,tulare_corcoran_agriculture,strong_builtup_km2,16.465326,km2,50.0,,,,,
B_threshold,tulare_corcoran_agriculture,strong_population_fraction_of_total_valid,0.832294,fraction,50.0,,,,,
B_threshold,fresno_urban_infrastructure,strong_population,199429.41433,people,5.0,,,,,
B_threshold,fresno_urban_infrastructure,strong_builtup_km2,34.432681,km2,5.0,,,,,
B_threshold,fresno_urban_infrastructure,strong_population_fraction_of_total_valid,0.223385,fraction,5.0,,,,,
B_threshold,fresno_urban_infrastructure,strong_population,28124.494954,people,10.0,,,,,
B_threshold,fresno_urban_infrastructure,strong_builtup_km2,8.105934,km2,10.0,,,,,
B_threshold,fresno_urban_infrastructure,strong_population_fraction_of_total_valid,0.031503,fraction,10.0,,,,,
B_threshold,fresno_urban_infrastructure,strong_population,1107.855627,people,50.0,,,,,
B_threshold,fresno_urban_infrastructure,strong_builtup_km2,0.436554,km2,50.0,,,,,
B_threshold,fresno_urban_infrastructure,strong_population_fraction_of_total_valid,0.001241,fraction,50.0,,,,,
C_station,fresno_urban_infrastructure,paired_dwr_ngl_medians,,,,fresno_control,annual_rate_2025_2026,-9.6964,-3.6905,1.0
C_station,fresno_urban_infrastructure,paired_dwr_ngl_medians,,,,fresno_control,total_2015_2026,-3.7473,-3.6905,1.0
C_station,tulare_corcoran_agriculture,paired_dwr_ngl_medians,,,,tulare_corcoran_pilot,annual_rate_2025_2026,-72.237,-290.575,1.0
C_station,tulare_corcoran_agriculture,paired_dwr_ngl_medians,,,,tulare_corcoran_pilot,total_2015_2026,-148.8567,-290.575,1.0
